RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Complain,Satisfaction Score,Card Type,Point Earned,Gender_Encoded,Geography_France,Geography_Germany,Geography_Spain,CardType_Encoded,Age_Tenure_Interaction,Salary_Balance_Ratio,Credit_Age_Interaction,Age_Squared,CreditScore_Squared,Tenure_Squared,Age_Group,CreditScore_Category,Has_Balance,Active_Months,Complain_With_Low_Satisfaction,Tenure_Group,CreditScore_StandardScaled,Age_StandardScaled,Tenure_StandardScaled,Balance_StandardScaled,EstimatedSalary_StandardScaled,Point Earned_StandardScaled,Age_Tenure_Interaction_StandardScaled,Salary_Balance_Ratio_StandardScaled,Credit_Age_Interaction_StandardScaled,Age_Squared_StandardScaled,CreditScore_Squared_StandardScaled,Tenure_Squared_StandardScaled,Active_Months_StandardScaled,CreditScore_MinMaxScaled,Age_MinMaxScaled,Tenure_MinMaxScaled,Balance_MinMaxScaled,EstimatedSalary_MinMaxScaled,Point Earned_MinMaxScaled,Age_Tenure_Interaction_MinMaxScaled,Salary_Balance_Ratio_MinMaxScaled,Credit_Age_Interaction_MinMaxScaled,Age_Squared_MinMaxScaled,CreditScore_Squared_MinMaxScaled,Tenure_Squared_MinMaxScaled,Active_Months_MinMaxScaled
11,15767821,Bearce,528,France,Male,31,6,102016.72,2,0,0,80181.12,0,0,3,GOLD,264,1,True,False,False,1,186,0.7859528717167958,16368,961,278784,36,26-35,Poor,1,0,0,Loyal,-1.2677780117370796,-0.7553720748175714,0.3413519501232164,0.409185402285092,-0.34619970089236274,-1.5161335434672394,-0.06881694926512098,-0.608026775400299,-1.1371669482006537,-0.704081372101026,-1.2238629249081094,0.08339657808352734,-0.7877756916800193,0.356,0.1756756756756757,0.6000000000000001,0.4066062041365082,0.40088598461153035,0.16458569807037457,0.21136363636363636,3.9294410644019696e-06,0.12270345559461432,0.07825552825552826,0.26047333333333333,0.36,0.0
12,15737173,Andrews,497,Spain,Male,24,3,0.0,2,1,0,76390.01,0,0,3,GOLD,249,1,False,False,True,1,72,76390.01,11928,576,247009,9,18-25,Poor,0,0,0,Regular,-1.5885280587778525,-1.4228472097266833,-0.695981771888179,-1.2258476714090278,-0.412123315592307,-1.5825306253827771,-0.9599042069007174,0.689288875887107,-1.7014463241702946,-1.1123892116256924,-1.4768034048005367,-0.8144134730549238,-0.7877756916800193,0.29399999999999993,0.08108108108108109,0.30000000000000004,0.0,0.3819286241836095,0.1475595913734393,0.08181818181818182,0.3819644115707536,0.04908138223784572,0.03095823095823095,0.207515,0.09,0.0
13,15632264,Kay,476,France,Female,34,10,0.0,2,1,0,26260.98,0,0,3,SILVER,119,0,True,False,False,3,340,26260.98,16184,1156,226576,100,26-35,Poor,0,0,0,Loyal,-1.8058103487086987,-0.4693113027136664,1.7244635794717436,-1.2258476714090278,-1.283817056739873,-2.157972001984104,1.1349325040320881,-0.16205077331176085,-1.1605514989165127,-0.4972761027313897,-1.6394574669765232,2.2115389215228194,-0.7877756916800193,0.252,0.21621621621621623,1.0,0.0,0.13125953528561976,0.0,0.38636363636363635,0.13130983684067477,0.11965245075280229,0.1022113022113022,0.17346,1.0,0.0
14,15691483,Chin,549,France,Female,25,5,0.0,2,0,0,190857.79,0,0,3,PLATINUM,549,0,True,False,False,2,125,190857.79,13725,625,301401,25,18-25,Poor,0,0,0,Regular,-1.0504957218062334,-1.3274936190253817,-0.004425957213915414,-1.2258476714090278,1.5783569986897874,-0.2545889870720227,-0.5456267976490805,2.6332913764296713,-1.4730656848420414,-1.060422759322553,-1.0438234336814523,-0.28237788719510093,-0.7877756916800193,0.398,0.09459459459459457,0.5,0.0,0.9543221877689319,0.48808172531214533,0.14204545454545453,0.9543248325921905,0.07887842408967302,0.036977886977886974,0.2981683333333333,0.25,0.0
15,15600882,Scott,635,Spain,Female,35,7,0.0,2,1,1,65951.65,0,0,2,GOLD,318,0,False,False,True,1,245,65951.65,22225,1225,403225,49,26-35,Fair,0,7,0,Loyal,-0.1606730106608635,-0.3739577120123647,0.6871298574603482,-1.2258476714090278,-0.5936359656444845,-1.2771040485713037,0.3923597893357579,0.5120145551868761,-0.39280111372898985,-0.42409885356982613,-0.23326760600036558,0.5156754915946334,1.38231987392548,0.57,0.22972972972972977,0.7000000000000001,0.0,0.32973183939066175,0.22587968217934165,0.2784090909090909,0.32977064906069775,0.2198215825429462,0.11068796068796069,0.467875,0.49,0.7000000000000001
16,15643966,Goforth,616,Germany,Male,45,3,143129.41,2,0,1,64327.26,0,0,5,GOLD,308,1,False,True,False,1,135,0.44943111669979846,27720,2025,379456,9,36-45,Fair,1,3,0,Regular,-0.3572617491697243,0.5795781950006521,-0.695981771888179,1.0681029591182611,-0.6218824846013182,-1.3213687698483287,-0.4674612487336773,-0.6080324905380717,0.3055581590082123,0.4243330207671432,-0.4224774334295743,-0.8144134730549238,0.1422652650080519,0.5319999999999999,0.36486486486486486,0.30000000000000004,0.5704683124530762,0.32160911367035555,0.21452894438138478,0.1534090909090909,2.246769020055505e-06,0.310937189095974,0.20896805896805895,0.42826000000000003,0.09,0.30000000000000004
17,15737452,Romeo,653,Germany,Male,58,1,132602.88,1,1,0,5097.67,1,0,2,SILVER,163,1,False,True,False,3,58,0.038442841943991383,37874,3364,426409,1,56+,Good,1,0,0,New,0.025568952137004615,1.8191748741175742,-1.3875375865624426,0.8993931172292712,-1.651825870574206,-1.9632072283651933,-1.069335975382282,-0.6080394703382725,1.5960295066649093,1.8443958704386456,-0.048714589924015075,-1.0804312659848354,-0.7877756916800193,0.606,0.5405405405405406,0.1,0.5285129113577549,0.02543287883992921,0.049943246311010214,0.0659090909090909,1.9175037660747376e-07,0.4793062280294489,0.37346437346437344,0.506515,0.01,0.0
18,15788218,Henderson,549,Spain,Female,24,9,0.0,2,1,1,14406.41,0,0,3,SILVER,544,0,False,False,True,3,216,14406.41,13176,576,301401,81,18-25,Poor,0,9,0,Loyal,-1.0504957218062334,-1.4228472097266833,1.378685672134612,-1.2258476714090278,-1.4899561835690913,-0.2767213477105353,0.1656796974810886,-0.3633765413388586,-1.5428380671409903,-1.1123892116256924,-1.0438234336814523,1.5797466633142794,2.0023471783841944,0.398,0.08108108108108109,0.9,0.0,0.07198102418780992,0.48240635641316687,0.24545454545454545,0.07203475806979187,0.06977515420839692,0.03095823095823095,0.2981683333333333,0.81,0.9
19,15661507,Muldrow,587,Spain,Male,45,6,0.0,1,0,0,158684.81,0,0,3,PLATINUM,732,1,False,False,True,2,270,158684.81,26415,2025,344569,36,36-45,Fair,0,0,0,Loyal,-0.6573182447885119,0.5795781950006521,0.3413519501232164,-1.2258476714090278,1.0189010247747559,0.5554554122975375,0.5877736616242658,2.0868987271627253,0.1397057748549732,0.4243330207671432,-0.70019055764695,0.08339657808352734,-0.7877756916800193,0.47399999999999987,0.36486486486486486,0.6000000000000001,0.0,0.7934419237037137,0.695800227014756,0.3068181818181818,0.7934538837687375,0.28929826888638327,0.20896805896805895,0.370115,0.36,0.0
20,15568982,Hao,726,France,Female,24,6,0.0,2,1,1,54724.03,0,0,4,GOLD,477,0,True,False,False,1,144,54724.03,17424,576,527076,36,18-25,Good,0,6,0,Loyal,0.7808835790394698,-1.4228472097266833,0.3413519501232164,-1.2258476714090278,-0.7888730584424746,-0.5732949802666037,-0.3971122547098144,0.3213362581574265,-1.0029599614835498,-1.1123892116256924,0.7526310997480853,0.08339657808352734,1.072306221696123,0.7519999999999999,0.08108108108108109,0.6000000000000001,0.0,0.2735883776900694,0.4063564131668559,0.16363636363636364,0.2736304381623235,0.14021357033892684,0.03095823095823095,0.6742933333333334,0.36,0.6000000000000001
21,15577657,McDonald,732,France,Male,41,8,0.0,2,1,1,170886.17,0,0,3,PLATINUM,568,1,True,False,False,2,328,170886.17,30012,1681,535824,64,36-45,Good,0,8,0,Loyal,0.8429642333054258,0.1981638321954454,1.03290776479748,-1.2258476714090278,1.2310704831801604,-0.17048601664567495,1.0411338453336043,2.294114018225591,0.5968483233601081,0.05950731480224638,0.8222683402862113,1.0144588533382175,1.6923335261548371,0.7639999999999999,0.3108108108108108,0.8,0.0,0.8544545504095641,0.5096481271282634,0.3727272727272727,0.8544629777394088,0.3489420972341978,0.1667076167076167,0.6888733333333332,0.64,0.8
22,15597945,Dellucci,636,Spain,Female,32,8,0.0,2,1,0,138555.46,0,0,2,DIAMOND,336,0,False,False,True,0,256,138555.46,20352,1024,404496,64,26-35,Fair,0,0,0,Loyal,-0.15032623494987085,-0.6600184841162697,1.03290776479748,-1.2258476714090278,0.6688717421740601,-1.1974275502726583,0.47834189314270137,1.745042645614743,-0.6308405892224893,-0.6372673619969896,-0.22314998680466847,1.0144588533382175,-0.7877756916800193,0.572,0.1891891891891892,0.8,0.0,0.6927855610210775,0.246311010215664,0.2909090909090909,0.6928033492612292,0.18876434303906614,0.08599508599508598,0.4699933333333333,0.64,0.0
23,15699309,Gerasimov,510,Spain,Female,38,4,0.0,1,1,0,118913.53,1,1,2,DIAMOND,887,0,False,False,True,0,152,118913.53,19380,1444,260100,16,36-45,Poor,0,0,1,Regular,-1.4540199745349478,-0.08789693990845966,-0.35020386455104724,-1.2258476714090278,0.32731820632749364,1.2415585920914272,-0.33457981557749183,1.411464401715176,-0.7543720201780053,-0.19184062797008078,-1.3725943151932427,-0.5816479042412513,-0.7877756916800193,0.31999999999999995,0.27027027027027034,0.4,0.0,0.5945665311037204,0.8717366628830874,0.17272727272727273,0.5945900063932748,0.172647078331233,0.1375921375921376,0.22933333333333333,0.16,0.0
24,15725737,Mosman,669,France,Male,46,3,0.0,2,0,1,8487.75,0,0,2,SILVER,665,1,True,False,False,3,138,8487.75,30774,2116,447561,9,46-55,Good,0,3,0,Regular,0.19111736351288738,0.6749317857019538,-0.695981771888179,-1.2258476714090278,-1.5928757668520803,0.258881779741469,-0.44401158405905633,-0.4638929472642749,0.6936908649116545,0.5208421464729734,0.11966297201727917,-0.8144134730549238,0.1422652650080519,0.638,0.37837837837837845,0.30000000000000004,0.0,0.04238489775773586,0.619750283768445,0.1568181818181818,0.04244034530593171,0.36157723685083243,0.22014742014742011,0.5417683333333334,0.09,0.30000000000000004
25,15625047,Yen,846,France,Female,38,5,0.0,1,1,1,187616.16,0,0,3,PLATINUM,225,0,True,False,False,2,190,187616.16,32148,1444,715716,25,36-45,Excellent,0,5,0,Regular,2.0224966643585907,-0.08789693990845966,-0.004425957213915414,-1.2258476714090278,1.5219882921316075,-1.6887659564476376,-0.037550729698959714,2.5782388819562585,0.8683124555833408,-0.19184062797008078,2.254273652915906,-0.28237788719510093,0.762292569466766,0.9919999999999999,0.27027027027027034,0.5,0.0,0.9381124897427704,0.12031782065834282,0.2159090909090909,0.9381160731351998,0.38436028387610266,0.1375921375921376,0.9886933333333334,0.25,0.5
26,15738191,Maclean,577,France,Male,25,3,0.0,2,0,1,124508.29,0,0,3,PLATINUM,659,1,True,False,False,2,75,124508.29,14425,625,332929,9,18-25,Fair,0,3,0,Regular,-0.7607860018984386,-1.3274936190253817,-0.695981771888179,-1.2258476714090278,0.42460549226186645,0.23232294697525388,-0.9364545422260965,1.5064800247135035,-1.384102720162143,-1.060422759322553,-0.7928491630268983,-0.8144134730549238,0.1422652650080519,0.45399999999999985,0.09459459459459457,0.30000000000000004,0.0,0.6225430028567728,0.6129398410896708,0.08522727272727272,0.6225648582608824,0.0904855077270014,0.036977886977886974,0.35071500000000005,0.09,0.30000000000000004
27,15736816,Young,756,Germany,Male,36,2,136815.64,1,1,1,170041.95,0,0,5,DIAMOND,236,1,False,True,False,0,72,1.2428455339935258,27216,1296,571536,4,36-45,Excellent,1,2,0,New,1.09128685036925,-0.27860412131106305,-1.0417596792253108,0.9669114802146295,1.2163903409521621,-1.6400747630429098,-0.9599042069007174,-0.6080190160074118,0.24150482443868548,-0.34880052472242007,1.1065487625653103,-0.9806745936361185,-0.16774838722130514,0.8119999999999999,0.24324324324324326,0.2,0.5453036330408096,0.8502330472560129,0.13280363223609534,0.08181818181818182,6.213990275912093e-06,0.3025800888770976,0.1194103194103194,0.7483933333333332,0.04,0.2
28,15700772,Nebechi,571,France,Male,44,9,0.0,2,0,0,38433.35,0,0,4,PLATINUM,448,1,True,False,False,2,396,38433.35,25124,1936,326041,81,36-45,Fair,0,0,0,Loyal,-0.8228666561643946,0.48422460429935044,1.378685672134612,-1.2258476714090278,-1.0721517054667205,-0.7016626719699768,1.572659577958346,0.04467218154531145,-0.024367350004667908,0.32994497474715534,-0.8476801315713213,1.5797466633142794,-0.7877756916800193,0.44200000000000006,0.35135135135135137,0.9,0.0,0.19212719814742305,0.37343927355278095,0.44999999999999996,0.19217397536095274,0.267891490349539,0.198034398034398,0.339235,0.81,0.0
29,15728693,McWilliams,574,Germany,Female,43,3,141349.43,1,1,1,100187.43,0,0,5,DIAMOND,499,0,False,True,False,0,129,0.7087875855772069,24682,1849,329476,9,36-45,Fair,1,3,0,Regular,-0.7918263290314166,0.38887101359804876,-0.695981771888179,1.0395750259469725,0.001690039053891126,-0.4759125934571485,-0.5143605780829192,-0.6080280858957869,-0.08054110770254659,0.23767800841300993,-0.8203362905506922,-0.8144134730549238,0.1422652650080519,0.44800000000000006,0.3378378378378379,0.30000000000000004,0.5633738782148561,0.5009270885369552,0.43132803632236094,0.14659090909090908,3.54360012590299e-06,0.2605624461099688,0.18734643734643733,0.34496,0.09,0.30000000000000004
30,15656300,Lucciano,411,France,Male,29,0,59697.17,2,1,1,53483.21,0,0,2,GOLD,343,1,True,False,False,1,0,0.8958936262200332,11919,841,168921,0,26-35,Poor,1,0,0,New,-2.4783507699232223,-0.9460792562201749,-1.7333154938995745,-0.2690746311079832,-0.8104496783748915,-1.1664422453787409,-1.5226961590916204,-0.6080249082801219,-1.702590133716179,-0.8313461532515714,-2.098412096974884,-1.1136834901010744,-0.7877756916800193,0.122,0.14864864864864863,0.0,0.23793393564693938,0.26738368514193106,0.2542565266742338,0.0,4.479165506816135e-06,0.0489321483053658,0.0635135135135135,0.07736833333333332,0.0,0.0
31,15589475,Azikiwe,591,Spain,Female,39,3,0.0,3,1,0,140469.38,1,1,3,DIAMOND,298,0,False,False,True,0,117,140469.38,23049,1521,349281,9,36-45,Fair,0,0,0,Regular,-0.6159311419445411,0.0074566507928420294,-0.695981771888179,-1.2258476714090278,0.7021528985231289,-1.365633491125354,-0.608159236781403,1.7775466853177795,-0.28807899530579517,-0.11017906006514748,-0.6626813352629023,-0.8144134730549238,-0.7877756916800193,0.4819999999999999,0.2837837837837838,0.30000000000000004,0.0,0.702356075005163,0.20317820658342792,0.13295454545454544,0.702373309096227,0.23348477813888707,0.14705159705159704,0.3779683333333333,0.09,0.0
32,15706552,Odinakachukwu,533,France,Male,36,7,85311.7,1,0,1,156731.91,0,0,5,SILVER,628,1,True,False,False,3,252,1.8371462865435042,19188,1296,284089,49,36-45,Poor,1,7,0,Loyal,-1.2160441331821163,-0.27860412131106305,0.6871298574603482,0.14145222877469335,0.9849420451757676,0.09510231101647593,0.4470756735765401,-0.6080089230174976,-0.778773290490206,-0.34880052472242007,-1.1816332082809078,0.5156754915946334,1.38231987392548,0.366,0.24324324324324326,0.7000000000000001,0.3400253066892618,0.7836764911049005,0.5777525539160046,0.2863636363636364,9.185605772804427e-06,0.16946342110499435,0.1194103194103194,0.269315,0.49,0.7000000000000001
33,15750181,Sanderson,553,Germany,Male,41,9,110112.54,2,0,0,81898.81,0,0,3,GOLD,611,1,False,True,False,1,369,0.74376693365775,22673,1681,305809,81,36-45,Fair,1,0,0,Loyal,-1.0091086189622627,0.1981638321954454,1.378685672134612,0.5389379904752859,-0.31633078816391447,0.01985228484553318,1.3616125958867575,-0.608027491842682,-0.3358648163338549,0.05950731480224638,-1.0087341611286333,1.5797466633142794,-0.7877756916800193,0.406,0.3108108108108108,0.9,0.43887356814872525,0.40947525488684167,0.5584562996594779,0.4193181818181818,3.718503442752806e-06,0.2272501160708364,0.1667076167076167,0.30551500000000004,0.81,0.0
34,15659428,Maggard,520,Spain,Female,42,6,0.0,2,1,1,34410.55,0,0,2,SILVER,922,0,False,False,True,3,252,34410.55,21840,1764,270400,36,36-45,Poor,0,6,0,Loyal,-1.350552217425021,0.2935174228967471,0.3413519501232164,-1.2258476714090278,-1.1421041777545031,1.3964851165610153,0.4470756735765401,-0.02364689705639304,-0.4417307443029339,0.14753212176470695,-1.2906025939377903,0.08339657808352734,1.072306221696123,0.33999999999999997,0.3243243243243243,0.6000000000000001,0.0,0.17201127707696084,0.9114642451759365,0.2863636363636364,0.17205921903664007,0.21343768654241563,0.1769041769041769,0.2465,0.36,0.6000000000000001
35,15732963,Clements,722,Spain,Female,29,9,0.0,2,1,1,142033.07,0,0,5,PLATINUM,276,0,False,False,True,2,261,142033.07,20938,841,521284,81,26-35,Good,0,9,0,Loyal,0.7394964761954991,-0.9460792562201749,1.378685672134612,-1.2258476714090278,0.7293439051333712,-1.4630158779348093,0.517424667600403,1.804102780579463,-0.5563658787904601,-0.8313461532515714,0.7065246871741454,1.5797466633142794,2.0023471783841944,0.7439999999999999,0.14864864864864863,0.9,0.0,0.710175271738451,0.1782065834279228,0.29659090909090907,0.7101920530846839,0.19848113019831531,0.0635135135135135,0.6646399999999999,0.81,0.9
36,15794171,Lombardo,475,France,Female,45,0,134264.04,1,1,0,27822.99,1,1,1,DIAMOND,877,0,True,False,False,0,0,0.2072243824602443,21375,2025,225625,0,36-45,Poor,1,0,1,New,-1.8161571244196912,0.5795781950006521,-1.7333154938995745,0.9260167093296419,-1.2566552636509198,1.197293870814402,-1.5226961590916204,-0.6080366039269836,-0.5008275708402949,0.4243330207671432,-1.6470277705604004,-1.1136834901010744,-0.7877756916800193,0.25,0.36486486486486486,0.0,0.5351337668612783,0.13907033121663118,0.8603859250851306,0.0,1.0356898117090298e-06,0.20572726669761893,0.20896805896805895,0.171875,0.0,0.0
37,15788448,Watson,490,Spain,Male,31,3,145260.23,1,0,1,114066.77,0,0,4,SILVER,471,1,False,False,True,3,93,0.7852526789150828,15190,961,240100,9,26-35,Poor,1,3,0,Regular,-1.6609554887548013,-0.7553720748175714,-0.695981771888179,1.1022538431506914,0.2430378929672636,-0.5998538130328189,-0.7957565541783707,-0.60802678729165,-1.2868789087619683,-0.704081372101026,-1.5318015409319854,-0.8144134730549238,0.1422652650080519,0.2799999999999999,0.1756756756756757,0.30000000000000004,0.5789610833625718,0.570330416554781,0.3995459704880817,0.10568181818181818,3.9259399687505585e-06,0.10317039198779598,0.07825552825552826,0.196,0.09,0.30000000000000004
38,15729599,Lorenzo,804,Spain,Male,33,7,76548.6,1,0,1,98453.45,0,0,2,GOLD,994,1,False,False,True,1,231,1.286139313595368,26532,1089,646416,49,26-35,Excellent,1,7,0,Loyal,1.5879320844968983,-0.5646648934149681,0.6871298574603482,0.00100507140589216,-0.028462140497060744,1.7151911097555963,0.2829280208541934,-0.6080182807505927,0.1545752989514705,-0.5683322722071109,1.7026206157311627,0.5156754915946334,1.38231987392548,0.908,0.2027027027027027,0.7000000000000001,0.3050983767951363,0.49225636048242605,0.9931895573212259,0.2625,6.43046731355989e-06,0.29123831000862244,0.09398034398034397,0.8731933333333335,0.49,0.7000000000000001
39,15717426,Armstrong,850,France,Male,36,7,0.0,1,1,1,40812.9,0,0,3,GOLD,944,1,True,False,False,1,252,40812.9,30600,1296,722500,49,36-45,Excellent,0,7,0,Loyal,2.063883767202561,-0.27860412131106305,0.6871298574603482,-1.2258476714090278,-1.030773708690248,1.4938675033704707,0.4470756735765401,0.08508400005149776,0.6715772136912227,-0.34880052472242007,2.3082767438864877,0.5156754915946334,1.38231987392548,0.9999999999999999,0.24324324324324326,0.7000000000000001,0.0,0.20402608449106888,0.9364358683314415,0.2863636363636364,0.20407217273877873,0.35869204748955363,0.1194103194103194,1.0,0.49,0.7000000000000001
